Crop Type,Nitrogen (N),Phosphorus (P),Potassium (K),Soil pH,Soil Type,Target Fertilizer
Rice,31,39,18,8.3,Sandy,DAP
Maize,74,30,29,8.4,Loamy,NPK 10-26-26
Cotton,56,37,44,7.7,Loamy,NPK 10-26-26
Rice,49,35,19,7.6,Loamy,NPK 10-26-26
Wheat,38,30,24,8.2,Sandy,NPK 10-26-26
Maize,79,50,38,5.1,Silty,DAP
Maize,80,33,26,6.4,Loamy,NPK 10-26-26
Sugarcane,104,54,100,4.8,Silty,DAP
Rice,33,24,13,7.8,Sandy,NPK 15-15-15
Cotton,57,36,47,8.2,Clayey,NPK 10-26-26
Cotton,44,39,33,4.7,Loamy,NPK 10-26-26
Rice,35,37,16,8.1,Clayey,DAP
Sugarcane,96,44,97,5.7,Sandy,NPK 10-26-26
Sugarcane,87,59,76,6.8,Loamy,DAP
Maize,76,46,36,7.3,Clayey,DAP
Sugarcane,98,58,91,6.3,Silty,DAP
Maize,56,36,20,8.2,Silty,NPK 10-26-26
Maize,78,33,28,4.9,Loamy,NPK 10-26-26
Wheat,27,19,27,8.1,Loamy,NPK 10-26-26
Maize,71,40,35,6.4,Sandy,NPK 10-26-26
Sugarcane,108,57,71,5.2,Sandy,DAP
Maize,54,35,22,8.0,Silty,NPK 10-26-26
Maize,75,42,33,4.7,Sandy,NPK 10-26-26
Wheat,42,37,14,4.6,Clayey,DAP
Wheat,42,21,28,5.5,Clayey,NPK 10-26-26
Sugarcane,92,56,62,4.7,Silty,DAP
Cotton,44,22,43,7.8,Silty,NPK 10-26-26
Cotton,42,36,35,7.2,Clayey,NPK 10-26-26
Cotton,54,27,41,5.4,Sandy,NPK 10-26-26
Maize,76,41,20,5.7,Sandy,DAP
Rice,42,20,10,4.8,Clayey,NPK 20-20-0
Wheat,35,10,30,5.9,Sandy,NPK 15-15-15
Cotton,46,38,31,5.2,Clayey,NPK 10-26-26
Rice,44,22,11,8.4,Silty,Urea
Rice,37,39,11,5.0,Loamy,DAP
Maize,58,50,39,8.4,Clayey,DAP
Rice,31,36,18,7.9,Clayey,NPK 10-26-26
Cotton,42,29,43,8.1,Sandy,NPK 10-26-26
Maize,79,39,30,6.4,Loamy,NPK 10-26-26
Wheat,49,30,23,4.7,Sandy,NPK 10-26-26
Cotton,41,31,37,5.0,Silty,NPK 10-26-26
Sugarcane,88,52,60,7.9,Silty,DAP
Sugarcane,116,51,85,5.3,Silty,DAP
Cotton,46,38,42,6.9,Silty,NPK 10-26-26
Rice,35,28,28,8.3,Loamy,NPK 10-26-26
Sugarcane,117,57,98,8.0,Clayey,DAP
Rice,57,23,13,6.3,Loamy,Urea
Rice,42,26,24,7.5,Loamy,NPK 10-26-26
Sugarcane,112,43,85,6.9,Sandy,NPK 10-26-26
Cotton,50,25,40,7.8,Sandy,NPK 10-26-26
Rice,59,32,30,6.2,Sandy,NPK 10-26-26
Wheat,29,37,18,7.8,Clayey,DAP
Cotton,69,24,33,7.4,Clayey,NPK 10-26-26
Rice,52,39,14,4.6,Silty,DAP
Cotton,55,29,45,5.6,Loamy,NPK 10-26-26
Rice,31,21,26,6.5,Loamy,NPK 10-26-26
Sugarcane,102,51,80,7.2,Sandy,DAP
Rice,60,30,28,7.1,Silty,NPK 10-26-26
Cotton,54,22,42,6.6,Clayey,NPK 10-26-26
Cotton,46,31,38,6.7,Silty,NPK 10-26-26
Rice,53,25,18,6.7,Sandy,Urea
Rice,60,25,21,7.9,Loamy,NPK 10-26-26
Rice,55,33,25,7.7,Sandy,NPK 10-26-26
Wheat,37,15,17,5.8,Clayey,NPK 15-15-15
Rice,45,23,11,8.0,Sandy,Urea
Cotton,62,21,41,5.0,Sandy,NPK 10-26-26
Sugarcane,93,49,68,6.7,Sandy,DAP
Sugarcane,112,54,76,8.1,Clayey,DAP
Maize,70,50,20,6.9,Sandy,DAP
Cotton,44,36,41,6.1,Silty,NPK 10-26-26
Cotton,70,40,39,8.1,Silty,NPK 10-26-26
Wheat,46,18,11,7.0,Loamy,Urea
Rice,31,25,28,8.0,Loamy,NPK 10-26-26
Rice,58,28,24,8.0,Clayey,NPK 10-26-26
Maize,75,34,28,5.7,Silty,NPK 10-26-26
Cotton,40,33,45,7.0,Clayey,NPK 10-26-26
Wheat,28,35,22,5.7,Clayey,NPK 10-26-26
Maize,79,30,25,8.4,Clayey,NPK 10-26-26
Sugarcane,83,51,91,8.4,Sandy,DAP
Rice,55,37,18,8.3,Clayey,Urea
Cotton,66,40,35,7.2,Clayey,NPK 10-26-26
Maize,78,35,32,7.7,Clayey,NPK 10-26-26
Maize,74,45,30,5.1,Sandy,DAP
Sugarcane,99,40,79,5.3,Sandy,NPK 10-26-26
Wheat,43,31,11,6.2,Silty,Urea
Rice,32,23,13,7.5,Clayey,NPK 15-15-15
Cotton,55,24,32,5.9,Loamy,NPK 10-26-26
Maize,74,30,32,5.1,Silty,NPK 10-26-26
Rice,49,36,13,4.5,Sandy,Urea
Cotton,64,24,35,4.6,Silty,NPK 10-26-26
Wheat,26,31,30,8.3,Clayey,NPK 10-26-26
Rice,32,20,26,8.1,Sandy,NPK 10-26-26
Rice,42,36,24,5.2,Sandy,NPK 10-26-26
Maize,68,46,40,7.7,Clayey,DAP
Maize,65,41,35,8.4,Sandy,NPK 10-26-26
Wheat,23,11,29,7.2,Silty,NPK 15-15-15
Rice,39,24,27,8.3,Sandy,NPK 10-26-26
Maize,80,49,37,5.0,Clayey,DAP
Sugarcane,96,43,69,7.7,Sandy,NPK 10-26-26
Rice,57,32,13,8.3,Silty,Urea
Rice,58,26,16,5.0,Silty,Urea
Maize,59,47,31,7.1,Clayey,DAP
Sugarcane,95,45,95,5.1,Silty,DAP
Rice,56,36,21,4.8,Loamy,NPK 10-26-26
Rice,55,38,19,5.8,Sandy,DAP
Maize,54,43,39,7.2,Loamy,NPK 10-26-26
Sugarcane,111,56,63,6.7,Loamy,DAP
Maize,76,45,28,7.1,Silty,DAP
Sugarcane,83,56,62,5.5,Sandy,DAP
Cotton,60,32,45,7.9,Sandy,NPK 10-26-26
Rice,41,26,13,6.3,Sandy,NPK 15-15-15
Cotton,63,32,40,4.9,Silty,NPK 10-26-26
Sugarcane,86,47,77,8.0,Clayey,DAP
Wheat,49,15,20,5.9,Silty,Urea
Wheat,43,22,16,7.7,Clayey,NPK 15-15-15
Rice,30,35,15,8.3,Silty,NPK 15-15-15
Wheat,27,23,30,8.2,Sandy,NPK 10-26-26
Rice,44,28,20,7.3,Clayey,NPK 10-26-26
Cotton,53,20,47,7.9,Loamy,NPK 10-26-26
Sugarcane,93,46,89,4.6,Sandy,DAP
Maize,59,43,39,5.4,Clayey,NPK 10-26-26
Cotton,52,22,38,5.8,Sandy,NPK 10-26-26
Wheat,47,14,16,6.9,Sandy,Urea
Maize,55,43,33,7.0,Loamy,NPK 10-26-26
Wheat,20,17,29,8.3,Sandy,NPK 15-15-15
Rice,56,34,22,7.5,Clayey,NPK 10-26-26
Rice,43,20,18,7.8,Sandy,NPK 15-15-15
Sugarcane,108,52,97,5.7,Loamy,DAP
Sugarcane,100,41,74,6.3,Sandy,NPK 10-26-26
Cotton,49,28,36,5.0,Loamy,NPK 10-26-26
Rice,57,34,16,7.8,Sandy,Urea
Sugarcane,116,42,66,7.3,Clayey,NPK 10-26-26
Sugarcane,107,42,84,5.9,Sandy,NPK 10-26-26
Sugarcane,87,54,76,7.0,Clayey,DAP
Rice,48,26,29,6.6,Loamy,NPK 10-26-26
Maize,51,41,31,7.8,Loamy,NPK 10-26-26
Maize,53,32,24,5.5,Silty,NPK 10-26-26
Maize,72,42,37,6.9,Silty,NPK 10-26-26
Sugarcane,112,58,91,5.0,Clayey,DAP
Cotton,56,24,35,7.2,Silty,NPK 10-26-26
Maize,65,30,30,4.5,Loamy,NPK 10-26-26
Wheat,25,37,10,7.7,Sandy,DAP
Wheat,47,18,16,5.3,Silty,Urea
Sugarcane,91,50,85,6.3,Clayey,DAP
Cotton,64,27,38,7.8,Clayey,NPK 10-26-26
Wheat,38,39,10,8.2,Sandy,DAP
Rice,50,33,28,5.7,Clayey,NPK 10-26-26
Maize,57,34,33,6.1,Clayey,NPK 10-26-26
Wheat,46,36,16,8.1,Loamy,Urea
Cotton,58,39,39,6.9,Loamy,NPK 10-26-26
Wheat,34,15,14,6.7,Silty,NPK 15-15-15
Rice,38,22,10,5.4,Silty,NPK 20-20-0
Wheat,39,11,29,7.6,Sandy,NPK 15-15-15
Wheat,39,12,20,5.8,Loamy,NPK 15-15-15
Rice,51,30,20,6.3,Loamy,NPK 10-26-26
Rice,42,33,27,8.2,Sandy,NPK 10-26-26
Cotton,54,27,30,7.8,Clayey,NPK 10-26-26
Rice,46,36,24,4.7,Clayey,NPK 10-26-26
Wheat,36,26,20,7.3,Clayey,NPK 10-26-26
Sugarcane,106,47,75,6.2,Loamy,DAP
Sugarcane,100,57,76,7.9,Clayey,DAP
Sugarcane,93,52,88,5.7,Silty,DAP
Rice,34,40,11,6.0,Loamy,DAP
Sugarcane,113,46,68,7.6,Sandy,DAP
Cotton,68,30,30,8.3,Loamy,NPK 10-26-26
Wheat,40,35,28,4.8,Silty,NPK 10-26-26
Rice,34,31,12,6.4,Silty,NPK 20-20-0
Wheat,39,18,13,8.5,Clayey,NPK 15-15-15
Rice,34,35,28,7.9,Clayey,NPK 10-26-26
Maize,73,33,35,5.8,Silty,NPK 10-26-26
Sugarcane,112,46,79,5.7,Loamy,DAP
Rice,49,22,21,7.9,Clayey,Urea
Sugarcane,95,54,83,7.6,Sandy,DAP
Cotton,67,35,30,6.3,Loamy,NPK 10-26-26
Maize,68,42,38,6.5,Clayey,NPK 10-26-26
Maize,67,48,22,5.2,Clayey,DAP
Cotton,57,21,32,5.4,Loamy,NPK 10-26-26
Wheat,21,40,22,5.3,Loamy,NPK 10-26-26
Maize,65,33,26,6.5,Clayey,NPK 10-26-26
Wheat,50,10,26,8.5,Sandy,Urea
Sugarcane,106,41,100,7.5,Sandy,NPK 10-26-26
Maize,74,42,39,8.2,Silty,NPK 10-26-26
Cotton,63,36,46,8.0,Sandy,NPK 10-26-26
Wheat,48,16,30,7.2,Clayey,Urea
Maize,76,45,23,7.1,Loamy,DAP
Wheat,46,12,27,5.8,Silty,Urea
Rice,46,37,10,7.3,Loamy,Urea
Rice,38,33,18,4.7,Loamy,NPK 10-26-26
Sugarcane,116,50,98,6.0,Sandy,DAP
Maize,50,39,24,5.5,Silty,NPK 10-26-26
Cotton,46,39,36,7.1,Loamy,NPK 10-26-26
Sugarcane,102,48,79,5.5,Sandy,DAP
Wheat,46,36,17,5.5,Loamy,Urea
Sugarcane,113,42,65,6.8,Sandy,NPK 10-26-26
Wheat,24,17,28,5.9,Loamy,NPK 15-15-15
Maize,55,32,29,4.8,Silty,NPK 10-26-26
Wheat,40,31,21,8.0,Silty,NPK 10-26-26
Cotton,63,21,40,7.1,Loamy,NPK 10-26-26
Wheat,45,12,30,8.3,Clayey,Urea
Wheat,33,35,20,8.1,Clayey,NPK 10-26-26
Cotton,45,29,44,6.0,Silty,NPK 10-26-26
Rice,44,33,21,7.5,Loamy,NPK 10-26-26
Rice,45,20,15,8.4,Clayey,NPK 15-15-15
Wheat,23,32,15,6.3,Clayey,NPK 15-15-15
Cotton,68,34,43,5.5,Loamy,NPK 10-26-26
Rice,59,31,19,5.2,Clayey,NPK 10-26-26
Cotton,40,28,47,4.5,Loamy,NPK 10-26-26
Wheat,25,19,23,8.3,Silty,NPK 15-15-15
Wheat,28,30,27,4.6,Sandy,NPK 10-26-26
Cotton,45,23,40,6.8,Sandy,NPK 10-26-26
Sugarcane,89,44,86,4.8,Clayey,NPK 10-26-26
Cotton,70,39,46,5.8,Clayey,NPK 10-26-26
Maize,62,40,21,7.3,Silty,DAP
Rice,46,24,27,8.2,Sandy,NPK 10-26-26
Sugarcane,118,60,65,8.0,Sandy,DAP
Wheat,50,26,12,7.5,Sandy,Urea
Cotton,69,37,38,5.7,Clayey,NPK 10-26-26
Sugarcane,85,48,62,8.0,Loamy,DAP
Maize,62,46,25,7.8,Sandy,DAP
Maize,79,42,25,8.3,Silty,NPK 10-26-26
Sugarcane,109,42,89,5.8,Sandy,NPK 10-26-26
Rice,40,32,15,6.6,Sandy,NPK 15-15-15
Maize,72,34,32,5.6,Loamy,NPK 10-26-26
Wheat,45,28,25,7.8,Loamy,NPK 10-26-26
Wheat,27,38,18,7.9,Loamy,DAP
Wheat,25,31,25,8.0,Clayey,NPK 10-26-26
Sugarcane,101,60,80,6.5,Loamy,DAP
Rice,46,31,24,4.7,Sandy,NPK 10-26-26
Maize,56,35,34,5.1,Sandy,NPK 10-26-26
Cotton,67,33,40,8.0,Sandy,NPK 10-26-26
Wheat,40,28,21,8.3,Loamy,NPK 10-26-26
Wheat,40,13,13,7.7,Loamy,NPK 15-15-15
Sugarcane,93,56,76,5.9,Loamy,DAP
Rice,30,38,21,6.5,Silty,NPK 10-26-26
Wheat,33,20,28,8.3,Clayey,NPK 10-26-26
Wheat,43,23,17,6.5,Loamy,NPK 15-15-15
Maize,78,43,27,6.8,Silty,NPK 10-26-26
Wheat,25,19,17,7.5,Sandy,NPK 15-15-15
Sugarcane,104,57,70,5.9,Clayey,DAP
Wheat,20,19,14,8.0,Sandy,NPK 15-15-15
Maize,60,44,33,5.1,Loamy,NPK 10-26-26
Maize,68,48,37,7.7,Loamy,DAP
Rice,32,39,16,8.5,Clayey,DAP
Maize,68,44,25,8.4,Sandy,DAP
Maize,54,42,22,7.9,Loamy,DAP
Sugarcane,107,53,71,7.8,Clayey,DAP
Cotton,45,39,30,8.3,Loamy,NPK 10-26-26
Cotton,65,24,45,5.8,Silty,NPK 10-26-26
Maize,60,42,23,7.4,Clayey,DAP
Rice,30,40,29,6.4,Sandy,NPK 10-26-26
Sugarcane,98,41,68,7.6,Sandy,NPK 10-26-26
Wheat,32,20,12,8.4,Clayey,NPK 20-20-0
Maize,66,35,31,8.0,Clayey,NPK 10-26-26
Maize,57,36,28,8.3,Silty,NPK 10-26-26
Rice,37,31,23,8.1,Sandy,NPK 10-26-26
Sugarcane,88,45,89,7.0,Sandy,DAP
Cotton,59,24,44,4.9,Silty,NPK 10-26-26
Cotton,45,22,48,6.6,Silty,NPK 10-26-26
Maize,59,30,23,6.6,Loamy,NPK 10-26-26
Wheat,37,39,18,7.7,Sandy,DAP
Wheat,24,21,20,4.8,Sandy,NPK 15-15-15
Maize,68,43,32,7.7,Loamy,NPK 10-26-26
Sugarcane,100,60,87,5.9,Loamy,DAP
Maize,52,48,27,8.2,Silty,DAP
Cotton,68,33,48,5.4,Clayey,NPK 10-26-26
Cotton,51,40,49,4.8,Silty,NPK 10-26-26
Cotton,61,29,45,8.1,Silty,NPK 10-26-26
Rice,56,28,17,6.9,Sandy,Urea
Wheat,29,35,12,8.3,Clayey,DAP
Wheat,45,40,28,6.2,Loamy,NPK 10-26-26
Rice,41,27,28,6.5,Clayey,NPK 10-26-26
Cotton,50,28,43,6.6,Silty,NPK 10-26-26
Maize,60,34,37,5.2,Loamy,NPK 10-26-26
Rice,36,25,29,5.7,Loamy,NPK 10-26-26
Sugarcane,100,45,78,7.0,Sandy,DAP
Wheat,34,15,28,8.5,Sandy,NPK 15-15-15
Wheat,28,22,19,6.8,Loamy,NPK 15-15-15
Cotton,56,33,33,5.1,Silty,NPK 10-26-26
Wheat,23,26,11,7.3,Sandy,NPK 20-20-0
Wheat,22,11,21,8.4,Loamy,NPK 15-15-15
Rice,37,40,22,5.8,Clayey,NPK 10-26-26
Rice,57,22,27,4.8,Sandy,NPK 10-26-26
Cotton,64,39,37,8.4,Loamy,NPK 10-26-26
Wheat,36,28,18,7.3,Silty,NPK 10-26-26
Cotton,66,32,43,7.6,Clayey,NPK 10-26-26
Cotton,48,30,32,6.6,Silty,NPK 10-26-26
Sugarcane,117,56,94,5.5,Loamy,DAP
Maize,69,49,23,4.7,Silty,DAP
Wheat,45,22,28,7.1,Loamy,NPK 10-26-26
Sugarcane,119,51,77,8.4,Sandy,DAP
Sugarcane,117,50,77,7.6,Silty,DAP
Sugarcane,83,47,76,7.9,Clayey,DAP
Wheat,34,20,12,7.9,Loamy,NPK 20-20-0
Sugarcane,99,55,80,8.2,Loamy,DAP
Maize,63,33,35,5.6,Sandy,NPK 10-26-26
Sugarcane,111,45,84,6.1,Loamy,DAP
Wheat,49,30,28,6.6,Clayey,NPK 10-26-26
Rice,39,28,16,4.6,Silty,NPK 15-15-15
Rice,53,40,10,5.0,Silty,DAP
Sugarcane,111,47,95,7.6,Loamy,DAP
Cotton,55,23,48,7.4,Silty,NPK 10-26-26
Maize,61,50,25,6.8,Clayey,DAP
Cotton,40,26,47,5.4,Clayey,NPK 10-26-26
Sugarcane,95,56,94,5.1,Sandy,DAP
Cotton,68,34,46,6.2,Sandy,NPK 10-26-26
Wheat,32,13,28,4.9,Silty,NPK 15-15-15
Cotton,61,20,35,7.7,Silty,NPK 10-26-26
Maize,63,50,24,7.6,Loamy,DAP
Cotton,51,27,48,8.4,Clayey,NPK 10-26-26
Wheat,46,23,16,6.8,Sandy,Urea
Wheat,41,38,22,4.7,Silty,NPK 10-26-26
Rice,41,35,17,8.4,Silty,NPK 15-15-15
Rice,38,28,11,8.0,Sandy,NPK 20-20-0
Maize,66,38,27,8.2,Sandy,NPK 10-26-26
Rice,56,30,13,6.8,Silty,Urea
Rice,44,33,24,8.0,Loamy,NPK 10-26-26
Rice,50,21,11,7.4,Sandy,Urea
Rice,56,39,30,5.8,Clayey,NPK 10-26-26
Sugarcane,112,51,66,6.5,Clayey,DAP
Sugarcane,83,54,72,6.0,Sandy,DAP
Wheat,28,37,29,5.1,Loamy,NPK 10-26-26
Wheat,32,29,25,6.8,Clayey,NPK 10-26-26
Maize,67,48,31,4.7,Sandy,DAP
Wheat,26,13,25,7.8,Sandy,NPK 15-15-15
Rice,41,21,20,4.5,Loamy,NPK 15-15-15
Maize,66,34,36,6.2,Loamy,NPK 10-26-26
Wheat,31,28,20,5.4,Loamy,NPK 10-26-26
Cotton,48,35,48,5.5,Silty,NPK 10-26-26
Wheat,48,38,14,6.4,Loamy,DAP
Cotton,69,26,37,5.3,Sandy,NPK 10-26-26
Maize,60,33,30,7.8,Clayey,NPK 10-26-26
Wheat,42,20,22,7.4,Sandy,NPK 15-15-15
Wheat,23,11,11,5.7,Loamy,NPK 15-15-15
Cotton,53,29,45,7.8,Clayey,NPK 10-26-26
Rice,38,24,23,4.6,Clayey,NPK 10-26-26
Maize,56,50,21,7.6,Silty,DAP
Rice,52,30,12,8.1,Silty,Urea
Rice,40,33,12,7.9,Clayey,NPK 20-20-0
Cotton,70,36,38,5.5,Loamy,NPK 10-26-26
Wheat,27,39,29,7.7,Loamy,NPK 10-26-26
Rice,60,29,19,7.4,Clayey,NPK 10-26-26
Sugarcane,113,50,89,7.2,Sandy,DAP
Sugarcane,118,41,83,6.1,Loamy,NPK 10-26-26
Rice,55,26,14,4.8,Clayey,Urea
Sugarcane,88,49,64,7.9,Loamy,DAP
Cotton,66,38,49,6.4,Loamy,NPK 10-26-26
Wheat,48,26,15,4.6,Sandy,Urea
Cotton,48,39,48,5.9,Clayey,NPK 10-26-26
Wheat,31,38,15,6.1,Clayey,DAP
Cotton,67,25,39,8.2,Sandy,NPK 10-26-26
Maize,79,46,39,7.0,Clayey,DAP
Cotton,51,23,35,6.5,Silty,NPK 10-26-26
Cotton,47,37,47,7.5,Clayey,NPK 10-26-26
Maize,80,34,22,7.1,Clayey,NPK 10-26-26
Wheat,49,12,13,8.3,Loamy,Urea
Rice,60,24,29,5.3,Sandy,NPK 10-26-26
Rice,30,22,18,8.3,Silty,NPK 15-15-15
Wheat,46,15,27,7.0,Sandy,Urea
Maize,52,31,28,7.1,Loamy,NPK 10-26-26
Wheat,26,22,16,5.9,Sandy,NPK 15-15-15
Rice,39,32,21,8.4,Silty,NPK 10-26-26
Maize,62,34,31,5.2,Sandy,NPK 10-26-26
Wheat,36,37,14,8.1,Clayey,DAP
Wheat,37,23,22,7.6,Clayey,NPK 10-26-26
Sugarcane,94,46,78,6.6,Loamy,DAP
Rice,47,30,12,8.3,Loamy,Urea
Rice,38,28,27,6.6,Loamy,NPK 10-26-26
Cotton,63,37,34,5.4,Sandy,NPK 10-26-26
Rice,50,33,14,5.9,Sandy,Urea
Cotton,63,36,36,7.0,Loamy,NPK 10-26-26
Sugarcane,89,48,72,4.9,Sandy,DAP
Cotton,54,25,30,6.0,Silty,NPK 10-26-26
Maize,55,39,37,8.5,Loamy,NPK 10-26-26
Rice,42,35,18,5.7,Silty,NPK 10-26-26
Cotton,48,38,45,5.4,Silty,NPK 10-26-26
Rice,59,36,11,6.5,Loamy,Urea
Wheat,36,31,22,6.9,Silty,NPK 10-26-26
Wheat,37,27,22,8.1,Silty,NPK 10-26-26
Wheat,39,20,17,8.0,Sandy,NPK 15-15-15
Maize,72,39,25,7.1,Clayey,NPK 10-26-26
Wheat,33,28,15,8.3,Sandy,NPK 15-15-15
Wheat,42,36,10,5.3,Clayey,DAP
Rice,44,30,17,4.8,Sandy,NPK 15-15-15
Wheat,36,34,20,7.1,Silty,NPK 10-26-26
Maize,78,42,30,4.8,Loamy,NPK 10-26-26
Maize,64,30,24,5.8,Clayey,NPK 10-26-26
Cotton,44,26,46,5.5,Loamy,NPK 10-26-26
Cotton,46,36,30,7.4,Sandy,NPK 10-26-26
Cotton,45,30,36,8.3,Silty,NPK 10-26-26
Maize,79,43,33,4.5,Loamy,NPK 10-26-26
Maize,55,34,33,5.2,Sandy,NPK 10-26-26
Maize,51,49,33,8.0,Silty,DAP
Wheat,27,36,19,8.0,Silty,NPK 10-26-26
Cotton,65,23,32,5.5,Clayey,NPK 10-26-26
Wheat,47,30,25,7.9,Loamy,NPK 10-26-26
Rice,59,33,26,7.6,Loamy,NPK 10-26-26
Maize,79,44,30,6.2,Clayey,NPK 10-26-26
Cotton,44,21,49,6.6,Sandy,NPK 10-26-26
Rice,54,37,15,7.4,Silty,Urea
Rice,30,26,17,7.2,Silty,NPK 15-15-15
Sugarcane,117,60,62,5.3,Sandy,DAP
Maize,56,30,38,7.9,Silty,NPK 10-26-26
Maize,60,34,22,4.6,Loamy,NPK 10-26-26
Sugarcane,117,49,66,5.2,Silty,DAP
Cotton,70,33,48,8.3,Sandy,NPK 10-26-26
Rice,49,29,11,7.1,Clayey,Urea
Rice,38,40,30,4.5,Clayey,NPK 10-26-26
Sugarcane,81,43,85,6.1,Clayey,NPK 10-26-26
Wheat,22,14,29,5.1,Sandy,NPK 15-15-15
Wheat,42,10,26,5.2,Silty,Urea
Rice,30,39,29,7.0,Clayey,NPK 10-26-26
Sugarcane,87,44,72,7.4,Silty,NPK 10-26-26
Cotton,62,37,41,7.1,Silty,NPK 10-26-26
Sugarcane,98,51,60,7.2,Clayey,DAP
Cotton,40,39,32,8.2,Sandy,NPK 10-26-26
Maize,68,43,37,5.4,Clayey,NPK 10-26-26
Wheat,21,15,21,8.4,Clayey,NPK 15-15-15
Maize,53,46,25,4.7,Sandy,DAP
Maize,54,35,37,4.8,Clayey,NPK 10-26-26
Sugarcane,116,41,91,7.8,Sandy,NPK 10-26-26
Wheat,25,25,17,8.5,Clayey,NPK 15-15-15
Maize,67,41,39,5.4,Silty,NPK 10-26-26
Cotton,59,29,42,6.8,Loamy,NPK 10-26-26
Rice,58,36,14,7.3,Clayey,Urea
Wheat,48,13,12,8.4,Sandy,Urea
Sugarcane,84,53,89,7.1,Loamy,DAP
Wheat,32,40,24,7.6,Sandy,NPK 10-26-26
Cotton,48,35,50,5.1,Silty,NPK 10-26-26
Wheat,42,17,22,5.0,Sandy,NPK 15-15-15
Wheat,49,16,13,8.5,Sandy,Urea
Wheat,30,28,20,4.5,Loamy,NPK 10-26-26
Maize,72,38,23,6.7,Clayey,NPK 10-26-26
Rice,60,30,20,6.4,Silty,NPK 10-26-26
Maize,54,42,40,7.6,Sandy,NPK 10-26-26
Cotton,63,32,34,5.4,Silty,NPK 10-26-26
Sugarcane,104,45,64,6.7,Loamy,DAP
Maize,77,36,35,5.3,Loamy,NPK 10-26-26
Sugarcane,103,41,88,5.2,Loamy,NPK 10-26-26
Wheat,27,18,23,6.9,Loamy,NPK 15-15-15
Sugarcane,107,45,100,8.3,Sandy,DAP
Cotton,57,32,45,6.7,Clayey,NPK 10-26-26
Rice,37,40,30,6.4,Sandy,NPK 10-26-26
Maize,62,46,23,7.1,Loamy,DAP
Cotton,59,34,47,8.1,Loamy,NPK 10-26-26
Maize,77,39,26,6.6,Clayey,NPK 10-26-26
Rice,35,38,17,6.7,Sandy,DAP
Cotton,44,25,44,7.7,Loamy,NPK 10-26-26
Wheat,32,19,13,6.4,Clayey,NPK 15-15-15
Maize,59,33,32,8.0,Sandy,NPK 10-26-26
Rice,36,32,30,8.0,Silty,NPK 10-26-26
Maize,50,38,32,8.0,Loamy,NPK 10-26-26
Sugarcane,120,44,62,6.9,Silty,NPK 10-26-26
Cotton,57,20,33,4.7,Sandy,NPK 10-26-26
Wheat,22,34,10,7.6,Loamy,DAP
Rice,60,34,10,5.9,Sandy,Urea
Maize,80,43,33,8.5,Clayey,NPK 10-26-26
Rice,34,32,19,6.5,Loamy,NPK 10-26-26
Cotton,50,24,43,5.9,Sandy,NPK 10-26-26
Rice,46,26,16,7.5,Clayey,Urea
Rice,44,38,30,8.2,Sandy,NPK 10-26-26
Maize,60,41,34,5.4,Clayey,NPK 10-26-26
Wheat,45,12,19,8.4,Sandy,Urea
Maize,52,30,33,6.4,Silty,NPK 10-26-26
Sugarcane,88,51,80,7.9,Clayey,DAP
Cotton,55,30,36,7.7,Loamy,NPK 10-26-26
Wheat,31,28,11,8.2,Clayey,NPK 20-20-0
Cotton,50,29,36,8.0,Clayey,NPK 10-26-26
Cotton,52,37,50,5.2,Silty,NPK 10-26-26
Wheat,28,20,20,5.6,Silty,NPK 15-15-15
Maize,63,42,31,7.6,Silty,NPK 10-26-26
Cotton,53,24,40,5.1,Clayey,NPK 10-26-26
Wheat,30,17,18,6.4,Sandy,NPK 15-15-15
Sugarcane,112,44,75,7.1,Sandy,NPK 10-26-26
Wheat,37,39,26,6.2,Silty,NPK 10-26-26
Sugarcane,96,43,95,5.9,Sandy,NPK 10-26-26
Wheat,44,13,23,5.5,Sandy,Urea
Cotton,65,39,42,5.9,Sandy,NPK 10-26-26
Maize,78,43,33,7.1,Loamy,NPK 10-26-26
Rice,36,31,21,7.1,Sandy,NPK 10-26-26
Maize,51,40,34,8.5,Sandy,NPK 10-26-26
Cotton,69,25,50,4.9,Clayey,NPK 10-26-26
Wheat,35,19,22,8.0,Sandy,NPK 15-15-15
Rice,56,32,22,5.3,Loamy,NPK 10-26-26
Rice,39,27,24,7.2,Loamy,NPK 10-26-26
Wheat,37,35,24,4.9,Loamy,NPK 10-26-26
Sugarcane,104,48,91,5.5,Silty,DAP
Cotton,65,40,48,7.9,Loamy,NPK 10-26-26
Sugarcane,117,57,84,7.0,Clayey,DAP
Maize,53,41,26,7.3,Silty,NPK 10-26-26
Wheat,46,29,10,6.9,Silty,Urea
Rice,43,24,30,4.9,Silty,NPK 10-26-26
Sugarcane,84,52,90,7.1,Silty,DAP
Sugarcane,120,50,68,4.8,Silty,DAP
Maize,72,31,20,8.0,Clayey,NPK 10-26-26
Wheat,39,31,23,4.6,Silty,NPK 10-26-26
Rice,47,38,29,6.3,Clayey,NPK 10-26-26
Wheat,26,29,16,6.3,Silty,NPK 15-15-15
Sugarcane,92,45,77,4.7,Sandy,DAP
Rice,43,36,21,5.0,Silty,NPK 10-26-26
Rice,33,36,16,6.3,Silty,NPK 15-15-15
Sugarcane,102,60,90,5.9,Sandy,DAP
Rice,60,32,30,4.9,Silty,NPK 10-26-26
