Nitrogen (N),Phosphorus (P),Potassium (K),Carbon Emissions (kg),Water Pollution Risk (%),Soil Degradation (Index),Crop Type
19,16,12,2.94,12.1,4.3,Cotton
48,28,19,6.58,22.3,1.6,Soybean
32,29,5,4.75,19.9,2.9,Rice
18,11,11,2.57,12.6,3.5,Maize
25,20,29,4.08,21.0,1.0,Cotton
12,22,20,2.7,14.3,4.4,Soybean
17,9,18,2.51,17.2,2.3,Wheat
46,17,31,6.07,25.7,3.2,Wheat
20,27,21,3.77,14.1,4.7,Rice
42,26,27,6.04,21.7,1.7,Maize
45,11,20,5.45,22.2,1.6,Maize
12,23,39,3.13,12.0,1.6,Cotton
26,28,23,4.46,16.5,4.8,Maize
37,24,40,5.7,19.9,2.2,Rice
48,27,28,6.71,21.6,2.7,Wheat
30,17,26,4.37,13.8,3.5,Soybean
21,5,23,2.81,14.1,3.0,Maize
12,30,32,3.34,19.2,1.5,Cotton
35,21,25,5.05,17.1,5.0,Rice
21,15,35,3.55,18.6,4.6,Soybean
48,9,27,5.79,25.2,1.6,Rice
37,10,16,4.52,22.5,3.1,Soybean
45,30,14,6.28,23.4,3.6,Cotton
20,22,34,3.78,18.1,4.2,Cotton
10,19,22,2.39,16.4,3.0,Cotton
44,26,30,6.3,19.7,2.2,Maize
22,14,38,3.66,15.7,4.8,Soybean
13,7,31,2.27,15.0,4.6,Cotton
16,18,27,3.04,13.0,1.3,Maize
50,6,33,5.96,15.6,4.7,Soybean
32,16,39,4.78,21.8,4.4,Soybean
48,27,14,6.43,24.7,4.6,Cotton
30,8,33,4.06,13.2,2.2,Wheat
42,8,40,5.4,14.7,1.7,Soybean
29,5,7,3.29,17.7,2.9,Cotton
45,18,32,6.04,23.5,3.5,Rice
34,26,22,5.14,18.1,4.9,Cotton
21,29,31,4.17,17.7,3.5,Maize
31,19,32,4.69,21.2,2.7,Wheat
46,8,33,5.66,19.1,4.4,Maize
36,15,14,4.63,22.1,3.0,Cotton
23,17,10,3.35,12.7,3.5,Cotton
27,19,33,4.31,13.3,3.8,Cotton
43,18,15,5.5,17.5,2.1,Rice
41,12,9,4.88,23.7,2.1,Soybean
29,7,33,3.91,13.4,4.1,Cotton
38,22,19,5.28,24.4,4.7,Wheat
23,19,20,3.65,17.1,4.8,Maize
23,18,16,3.52,12.3,2.1,Cotton
40,18,8,5.06,17.5,4.2,Soybean
45,17,21,5.77,17.7,2.2,Cotton
36,15,32,4.99,21.8,2.8,Wheat
43,23,40,6.25,16.5,2.6,Soybean
39,18,28,5.36,18.4,4.7,Maize
11,6,28,1.96,12.5,4.8,Rice
21,27,10,3.65,12.2,2.5,Rice
48,9,32,5.89,22.1,4.5,Cotton
48,22,39,6.68,18.4,2.5,Wheat
29,17,28,4.31,22.2,4.6,Maize
28,7,14,3.43,11.9,2.5,Wheat
40,23,14,5.43,20.1,2.8,Rice
25,24,10,3.9,21.6,2.2,Soybean
33,21,17,4.69,14.9,3.2,Soybean
38,8,8,4.36,17.3,2.7,Wheat
39,13,33,5.21,21.2,3.8,Cotton
27,18,7,3.74,14.3,2.0,Rice
36,28,25,5.5,23.9,4.0,Soybean
44,17,34,5.93,21.6,4.6,Soybean
25,29,27,4.49,17.3,4.2,Cotton
21,14,35,3.5,12.5,4.6,Rice
19,6,7,2.34,12.3,2.3,Wheat
17,21,5,2.85,19.7,4.2,Wheat
14,7,29,2.33,18.5,3.4,Soybean
33,29,16,5.07,21.0,2.6,Soybean
26,21,38,4.41,22.3,2.9,Soybean
23,27,20,4.05,21.2,3.5,Soybean
12,8,35,2.3,15.9,1.6,Rice
18,8,34,2.88,15.6,4.7,Cotton
38,21,16,5.17,23.8,2.7,Soybean
24,12,34,3.68,13.2,1.9,Rice
49,9,19,5.73,19.6,2.8,Soybean
46,25,24,6.33,26.6,3.1,Rice
20,12,5,2.7,19.2,2.7,Maize
44,27,14,6.03,19.7,4.1,Wheat
42,12,15,5.1,18.8,3.8,Wheat
17,16,25,3.0,19.1,1.3,Maize
14,8,40,2.6,14.4,3.0,Soybean
38,26,15,5.4,22.9,2.6,Wheat
27,7,38,3.81,12.8,1.6,Wheat
27,21,33,4.41,22.0,1.0,Rice
11,19,34,2.73,16.2,4.3,Maize
33,19,17,4.59,22.5,4.2,Rice
46,9,31,5.67,16.4,1.5,Maize
33,18,29,4.78,20.8,2.4,Cotton
31,29,24,5.03,17.9,3.9,Rice
30,28,6,4.52,14.0,4.5,Rice
21,19,9,3.23,11.8,4.1,Maize
37,9,6,4.27,19.8,3.1,Cotton
43,29,25,6.25,20.8,2.2,Cotton
34,14,38,4.86,14.8,2.8,Maize
38,21,15,5.15,23.1,4.3,Soybean
37,22,27,5.34,21.7,3.2,Wheat
38,10,8,4.46,14.7,3.0,Wheat
19,17,25,3.25,18.8,3.5,Cotton
15,10,23,2.46,12.0,3.0,Cotton
49,20,27,6.44,24.4,3.0,Maize
20,14,12,2.94,16.9,4.8,Rice
17,7,29,2.63,16.8,1.9,Rice
11,6,24,1.88,11.4,4.5,Soybean
30,22,10,4.3,21.3,3.6,Rice
30,16,19,4.18,17.9,4.4,Wheat
28,15,29,4.13,14.0,1.7,Wheat
18,21,28,3.41,12.8,1.9,Wheat
39,25,24,5.63,17.4,4.5,Soybean
20,22,21,3.52,13.4,1.4,Maize
18,23,8,3.11,11.2,2.0,Soybean
20,16,6,2.92,17.3,3.9,Soybean
46,7,37,5.69,20.0,4.6,Wheat
16,18,9,2.68,12.2,4.7,Soybean
28,13,8,3.61,18.3,4.7,Soybean
15,26,29,3.38,11.9,1.4,Maize
30,6,5,3.4,20.5,1.7,Wheat
41,25,35,6.05,21.2,4.0,Wheat
47,14,12,5.64,19.8,1.4,Rice
34,24,5,4.7,14.8,2.0,Wheat
24,20,6,3.52,13.2,1.6,Rice
13,20,22,2.74,11.6,3.5,Cotton
19,10,32,3.04,11.4,1.1,Wheat
30,10,35,4.2,12.3,3.8,Cotton
32,18,31,4.72,17.3,4.8,Maize
29,5,21,3.57,13.0,1.2,Rice
24,15,22,3.59,17.8,1.9,Rice
13,10,20,2.2,15.4,3.6,Cotton
18,14,20,2.9,15.6,2.3,Rice
24,21,27,3.99,15.3,1.8,Cotton
48,19,11,5.97,26.4,3.7,Cotton
35,18,25,4.9,18.2,3.3,Rice
18,19,19,3.13,13.2,4.7,Maize
49,18,28,6.36,20.7,3.4,Wheat
24,18,14,3.58,20.7,3.0,Rice
40,23,24,5.63,18.9,3.5,Rice
29,26,38,4.96,21.9,3.9,Rice
34,14,12,4.34,22.5,3.1,Maize
32,25,20,4.85,20.2,4.8,Wheat
18,15,33,3.21,13.8,4.2,Maize
16,17,37,3.19,16.0,1.5,Maize
40,12,40,5.4,15.8,1.6,Wheat
37,12,16,4.62,17.6,4.0,Rice
32,30,9,4.88,19.9,4.7,Cotton
20,12,13,2.86,11.3,3.6,Rice
33,9,40,4.55,19.0,3.4,Maize
50,23,23,6.61,24.2,1.6,Soybean
14,9,21,2.27,18.5,5.0,Rice
43,10,32,5.44,22.5,1.8,Rice
49,26,23,6.66,24.8,4.4,Wheat
17,26,25,3.5,17.4,1.6,Cotton
32,25,37,5.19,16.2,2.1,Soybean
33,16,28,4.66,21.2,3.2,Rice
13,19,21,2.67,17.9,2.3,Maize
10,17,27,2.39,11.4,4.0,Maize
13,8,34,2.38,14.0,3.6,Cotton
22,24,18,3.76,17.0,3.3,Cotton
17,22,7,2.94,14.6,3.1,Soybean
49,23,35,6.75,25.1,3.4,Maize
22,15,27,3.49,15.8,4.2,Rice
27,23,10,4.05,17.2,1.2,Cotton
40,7,6,4.47,16.4,1.8,Rice
10,24,21,2.62,15.1,1.9,Soybean
19,19,33,3.51,18.9,2.9,Maize
35,17,23,4.81,14.4,2.1,Soybean
16,24,38,3.56,20.0,2.4,Wheat
49,29,35,7.05,27.3,2.6,Soybean
10,8,31,2.02,8.4,1.6,Rice
39,18,24,5.28,17.4,4.9,Maize
10,29,5,2.55,9.9,3.3,Soybean
23,15,33,3.71,19.3,3.0,Wheat
13,25,16,2.87,12.0,4.4,Soybean
23,7,6,2.77,11.3,1.6,Cotton
35,7,24,4.33,22.5,4.1,Rice
40,10,33,5.16,14.2,2.1,Soybean
21,11,22,3.09,15.5,2.5,Maize
21,28,16,3.82,16.7,4.7,Cotton
40,7,14,4.63,19.4,3.4,Soybean
14,14,13,2.36,13.5,1.2,Rice
49,18,19,6.18,21.6,1.7,Soybean
42,22,15,5.6,20.8,2.4,Wheat
39,9,13,4.61,23.3,2.1,Cotton
16,10,12,2.34,13.8,3.9,Cotton
24,22,40,4.3,21.3,3.8,Cotton
18,7,35,2.85,10.6,2.9,Soybean
30,9,37,4.19,16.8,3.8,Maize
23,26,10,3.8,14.1,1.1,Maize
28,27,16,4.47,16.1,2.7,Soybean
31,14,6,3.92,17.5,3.2,Rice
29,21,13,4.21,19.7,2.5,Wheat
47,21,28,6.31,24.4,3.2,Soybean
23,11,30,3.45,11.8,1.7,Cotton
17,25,38,3.71,18.7,1.7,Rice
10,21,30,2.65,9.3,4.9,Wheat
49,17,9,5.93,19.8,4.9,Wheat
37,19,12,4.89,16.9,1.9,Maize
47,12,35,6.0,18.7,3.8,Rice
50,23,13,6.41,21.9,3.8,Soybean
32,27,20,4.95,16.0,2.0,Soybean
19,14,37,3.34,16.8,3.3,Maize
33,10,28,4.36,22.2,2.1,Rice
42,7,35,5.25,15.1,2.2,Rice
41,19,7,5.19,19.6,2.7,Rice
14,26,6,2.82,17.5,1.4,Wheat
17,8,28,2.66,13.6,3.8,Cotton
48,26,7,6.24,26.9,1.1,Soybean
45,28,40,6.7,23.7,4.2,Cotton
43,5,20,4.95,23.1,2.2,Maize
49,13,38,6.31,22.3,1.5,Rice
26,23,10,3.95,16.1,1.1,Soybean
24,20,16,3.72,19.7,2.6,Cotton
41,14,12,5.04,23.6,1.1,Soybean
16,19,18,2.91,14.6,3.6,Maize
20,26,22,3.74,12.6,2.1,Soybean
18,16,19,2.98,14.0,1.7,Soybean
11,6,16,1.72,9.7,3.2,Rice
39,8,34,4.98,21.4,3.8,Soybean
21,29,21,3.97,16.4,3.3,Wheat
45,18,25,5.9,17.6,1.3,Rice
46,13,28,5.81,18.6,4.9,Maize
25,12,31,3.72,15.7,4.0,Soybean
15,7,7,1.99,11.1,4.3,Wheat
46,19,22,5.99,16.2,3.4,Wheat
23,25,29,4.13,14.6,1.7,Wheat
30,25,17,4.59,13.8,1.1,Wheat
38,8,24,4.68,14.6,4.8,Wheat
39,14,6,4.72,16.9,2.9,Wheat
36,12,20,4.6,22.5,4.9,Rice
22,30,17,4.04,17.5,2.1,Soybean
16,11,13,2.41,12.9,3.2,Soybean
28,14,34,4.18,16.5,3.0,Maize
15,8,27,2.44,11.9,4.3,Wheat
37,16,16,4.82,23.7,4.6,Wheat
13,9,26,2.27,11.3,1.3,Rice
31,13,13,4.01,20.9,2.3,Rice
27,19,33,4.31,16.0,4.1,Maize
37,17,32,5.19,15.0,1.3,Rice
18,26,24,3.58,13.0,1.6,Cotton
40,27,40,6.15,17.9,1.1,Rice
46,28,30,6.6,21.2,2.9,Wheat
37,9,9,4.33,16.4,4.5,Cotton
25,9,32,3.59,15.2,4.5,Cotton
27,27,18,4.41,19.5,2.0,Wheat
14,15,11,2.37,17.4,1.9,Soybean
41,13,25,5.25,23.5,1.2,Wheat
23,19,16,3.57,14.8,2.7,Wheat
35,10,16,4.32,14.8,2.9,Cotton
33,27,6,4.77,20.2,2.0,Cotton
17,14,40,3.2,15.3,2.8,Cotton
25,10,31,3.62,14.3,3.7,Soybean
21,26,38,4.16,18.1,2.9,Soybean
29,20,25,4.4,15.4,1.9,Rice
14,6,17,2.04,16.3,1.7,Rice
10,27,22,2.79,10.8,3.0,Rice
10,11,37,2.29,10.4,2.0,Wheat
36,6,29,4.48,15.6,3.6,Cotton
11,6,11,1.62,17.3,1.2,Soybean
44,6,35,5.4,16.9,1.2,Rice
21,6,33,3.06,14.7,4.7,Soybean
29,10,20,3.8,15.6,3.3,Rice
18,8,6,2.32,11.2,4.7,Cotton
32,12,31,4.42,14.8,4.2,Wheat
47,30,23,6.66,27.1,3.6,Maize
38,19,14,5.03,23.9,2.3,Wheat
38,27,9,5.33,15.5,3.0,Soybean
18,15,36,3.27,13.6,3.9,Soybean
45,26,9,5.98,19.4,4.1,Wheat
18,6,6,2.22,11.6,1.1,Wheat
25,16,26,3.82,13.0,1.2,Rice
18,26,29,3.68,15.3,2.8,Wheat
25,10,18,3.36,18.8,4.7,Wheat
27,11,18,3.61,13.5,3.7,Maize
19,8,20,2.7,17.2,2.7,Soybean
19,10,5,2.5,18.6,2.6,Rice
34,13,10,4.25,15.6,2.4,Soybean
28,20,12,4.04,21.7,2.6,Rice
14,8,31,2.42,13.2,2.3,Rice
29,29,23,4.81,22.2,4.8,Maize
24,6,38,3.46,11.8,3.1,Cotton
17,8,17,2.44,14.5,2.5,Rice
27,5,15,3.25,11.2,4.7,Maize
47,10,23,5.66,19.9,4.0,Maize
17,30,19,3.58,21.2,4.2,Soybean
14,16,8,2.36,12.5,3.2,Cotton
19,14,18,2.96,17.4,4.5,Soybean
37,5,20,4.35,22.2,3.3,Rice
16,21,22,3.09,10.5,2.5,Soybean
15,28,23,3.36,11.7,2.5,Cotton
24,13,38,3.81,12.2,4.1,Maize
11,6,22,1.84,11.0,2.7,Rice
31,25,37,5.09,22.7,4.5,Rice
29,26,6,4.32,15.1,4.7,Cotton
37,30,18,5.56,15.9,1.3,Wheat
39,9,31,4.97,14.0,2.0,Maize
50,12,25,6.1,17.6,1.2,Maize
31,26,22,4.84,22.9,2.4,Maize
13,20,36,3.02,17.0,2.2,Rice
31,20,15,4.4,22.4,3.5,Wheat
38,9,40,5.05,22.8,3.0,Wheat
41,12,24,5.18,22.0,2.5,Soybean
46,26,21,6.32,18.7,4.6,Rice
50,13,37,6.39,17.9,2.9,Cotton
22,28,28,4.16,13.6,2.4,Rice
19,13,35,3.25,18.2,1.7,Cotton
34,13,38,4.81,17.3,2.7,Rice
30,24,27,4.74,20.5,3.6,Cotton
15,25,34,3.43,19.9,1.1,Rice
32,21,18,4.61,22.5,2.6,Cotton
28,30,16,4.62,15.6,4.1,Maize
19,24,31,3.72,17.4,4.5,Cotton
22,12,17,3.14,15.9,4.8,Rice
15,21,19,2.93,15.5,4.5,Cotton
27,21,6,3.87,15.2,1.3,Cotton
20,10,29,3.08,11.8,1.9,Rice
18,30,36,4.02,15.7,2.4,Wheat
22,5,6,2.57,15.3,1.5,Wheat
49,11,10,5.65,19.0,1.8,Wheat
17,21,29,3.33,16.4,4.6,Soybean
31,27,23,4.91,17.0,3.2,Soybean
19,5,19,2.53,14.4,3.2,Rice
19,6,17,2.54,9.7,2.7,Cotton
22,25,38,4.21,17.2,4.9,Soybean
22,22,28,3.86,20.0,2.2,Maize
15,5,25,2.25,11.3,3.7,Soybean
30,25,16,4.57,18.6,2.0,Soybean
26,7,10,3.15,18.4,4.0,Wheat
44,30,22,6.34,21.3,3.6,Wheat
30,11,30,4.15,14.5,1.2,Soybean
13,14,16,2.32,15.2,4.4,Soybean
26,21,23,4.11,13.1,3.5,Wheat
46,27,28,6.51,25.5,4.5,Soybean
19,11,18,2.81,19.7,4.2,Wheat
29,17,14,4.03,16.5,2.1,Soybean
21,19,16,3.37,16.0,4.9,Wheat
28,7,14,3.43,18.1,4.5,Rice
34,26,36,5.42,23.6,1.5,Soybean
34,30,5,5.0,22.2,1.0,Soybean
47,26,14,6.28,24.3,4.7,Cotton
50,23,5,6.25,17.4,3.0,Wheat
39,30,14,5.68,24.1,3.6,Rice
18,8,12,2.44,16.2,3.0,Maize
30,20,23,4.46,13.7,1.4,Maize
29,22,30,4.6,20.5,2.8,Soybean
42,24,21,5.82,21.0,2.6,Soybean
41,26,35,6.1,17.7,3.5,Rice
48,23,11,6.17,18.6,3.5,Maize
46,8,12,5.24,19.2,5.0,Soybean
16,15,16,2.67,19.3,2.3,Maize
37,17,31,5.17,21.8,3.9,Cotton
43,12,7,5.04,23.8,3.0,Soybean
16,12,37,2.94,13.8,1.6,Wheat
40,9,19,4.83,18.1,4.0,Soybean
43,12,20,5.3,22.7,2.8,Cotton
31,5,8,3.51,19.9,3.2,Soybean
21,19,36,3.77,17.1,2.8,Soybean
42,22,14,5.58,16.9,1.7,Rice
44,8,26,5.32,23.1,1.6,Maize
22,13,39,3.63,19.2,3.2,Soybean
32,22,39,5.08,20.9,2.8,Cotton
29,23,24,4.53,21.4,4.6,Cotton
44,20,32,6.04,19.5,1.9,Maize
18,29,23,3.71,16.0,1.9,Cotton
47,21,33,6.41,22.3,2.7,Rice
11,13,13,2.01,13.6,1.1,Maize
14,26,6,2.82,20.1,2.2,Wheat
12,7,31,2.17,14.6,3.3,Soybean
21,11,20,3.05,11.2,1.9,Wheat
25,19,33,4.11,15.7,4.0,Soybean
34,17,31,4.87,19.0,1.1,Soybean
29,30,30,5.0,14.2,3.8,Soybean
28,20,23,4.26,14.0,3.7,Maize
11,29,32,3.19,11.1,4.5,Rice
16,11,14,2.43,14.7,2.6,Maize
20,26,27,3.84,21.4,4.7,Maize
12,23,33,3.01,10.1,2.7,Rice
50,19,37,6.69,17.9,4.2,Cotton
21,5,20,2.75,11.4,3.6,Soybean
11,27,9,2.63,16.0,4.2,Cotton
28,24,38,4.76,14.6,2.5,Maize
38,9,40,5.05,20.8,4.1,Soybean
30,28,23,4.86,21.1,1.8,Rice
30,11,34,4.23,17.9,3.5,Cotton
48,21,24,6.33,22.3,1.6,Soybean
23,15,36,3.77,13.7,2.2,Wheat
12,22,6,2.42,17.2,3.3,Soybean
40,22,37,5.84,18.6,2.3,Cotton
41,7,5,4.55,21.2,1.3,Cotton
50,15,32,6.39,17.0,3.8,Wheat
13,9,29,2.33,8.6,3.2,Cotton
41,9,22,4.99,17.4,3.2,Cotton
31,17,7,4.09,16.3,1.9,Soybean
33,27,34,5.33,20.9,1.8,Wheat
33,11,31,4.47,20.7,4.6,Soybean
37,19,27,5.19,18.8,1.9,Cotton
28,20,18,4.16,14.8,2.9,Rice
16,6,24,2.38,15.4,3.8,Maize
39,18,10,5.0,21.6,4.0,Cotton
11,29,35,3.25,12.7,4.2,Maize
50,18,39,6.68,26.4,2.2,Soybean
33,15,30,4.65,20.0,3.4,Cotton
13,21,10,2.55,11.6,4.7,Maize
50,19,13,6.21,24.6,3.5,Cotton
31,16,38,4.66,18.1,1.1,Soybean
41,6,37,5.14,15.3,3.6,Soybean
37,23,18,5.21,22.5,2.7,Rice
35,18,32,5.04,14.4,3.4,Wheat
50,10,5,5.6,16.9,4.9,Wheat
41,13,32,5.39,22.8,1.7,Wheat
23,15,36,3.77,19.7,1.5,Rice
48,11,10,5.55,18.6,3.4,Wheat
21,13,21,3.17,17.1,4.3,Maize
11,10,16,1.92,13.3,2.6,Maize
18,5,30,2.65,17.5,2.9,Wheat
27,13,18,3.71,15.4,1.3,Cotton
21,29,32,4.19,19.8,2.3,Rice
22,23,17,3.69,13.5,2.2,Soybean
31,22,24,4.68,21.9,4.1,Rice
48,29,10,6.45,20.6,1.1,Soybean
36,26,6,5.02,18.2,4.9,Soybean
45,30,24,6.48,21.3,4.7,Wheat
10,28,26,2.92,10.1,2.0,Maize
43,30,13,6.06,19.9,4.5,Maize
37,26,28,5.56,16.5,4.4,Rice
29,5,17,3.49,17.2,3.6,Wheat
46,6,21,5.32,21.5,3.0,Rice
48,26,23,6.56,26.9,1.2,Maize
31,15,40,4.65,22.6,1.3,Maize
12,15,16,2.27,15.0,3.9,Maize
46,6,36,5.62,19.2,1.1,Rice
23,19,26,3.77,21.0,4.6,Wheat
11,28,33,3.16,14.6,2.3,Cotton
41,14,31,5.42,17.8,4.8,Rice
30,28,32,5.04,13.9,4.0,Wheat
10,25,34,2.93,11.6,4.3,Cotton
31,23,20,4.65,14.4,1.8,Maize
19,22,36,3.72,16.5,4.7,Cotton
36,16,12,4.64,21.0,3.7,Cotton
49,18,37,6.54,20.5,4.1,Maize
19,29,22,3.79,17.9,1.8,Soybean
21,27,22,3.89,19.9,1.2,Soybean
32,27,6,4.67,16.1,2.7,Cotton
32,5,9,3.63,19.8,4.3,Soybean
33,28,31,5.32,20.6,4.6,Maize
12,27,38,3.31,17.3,4.4,Soybean
26,25,38,4.61,20.7,4.5,Cotton
35,6,29,4.38,19.2,3.2,Maize
22,14,9,3.08,15.3,1.3,Maize
10,19,22,2.39,17.3,4.9,Wheat
11,27,12,2.69,10.0,4.5,Maize
45,30,14,6.28,19.6,4.8,Wheat
22,14,35,3.6,19.2,2.1,Wheat
16,26,34,3.58,15.3,3.4,Soybean
30,11,35,4.25,19.9,3.7,Cotton
31,5,32,3.99,16.6,1.2,Rice
33,21,10,4.55,18.7,2.0,Rice
21,17,24,3.43,17.9,1.1,Maize
29,5,9,3.33,14.6,4.4,Rice
21,20,36,3.82,13.7,2.1,Maize
30,8,18,3.76,20.0,5.0,Rice
10,20,36,2.72,18.7,1.7,Cotton
43,13,39,5.73,19.5,3.5,Rice
36,25,39,5.63,21.6,4.9,Cotton
19,20,14,3.18,16.0,3.5,Maize
39,8,7,4.44,18.0,4.0,Wheat
31,10,11,3.82,12.9,4.1,Maize
39,7,29,4.83,14.6,2.5,Rice
46,24,30,6.4,19.2,4.9,Maize
39,20,12,5.14,21.4,5.0,Soybean
48,14,21,5.92,24.0,2.2,Maize
22,14,17,3.24,15.4,4.6,Rice
29,7,23,3.71,17.7,1.3,Soybean
39,8,40,5.1,17.2,4.6,Soybean
45,7,22,5.29,24.5,1.5,Maize
28,9,30,3.85,12.2,3.1,Cotton
12,27,11,2.77,14.3,2.8,Soybean
19,6,27,2.74,17.0,2.0,Maize
23,25,5,3.65,19.9,4.4,Rice
41,13,17,5.09,22.4,4.1,Maize
43,25,37,6.29,20.0,1.9,Maize
22,13,19,3.23,15.9,2.7,Soybean
50,9,36,6.17,23.4,2.5,Soybean
16,21,32,3.29,19.0,2.2,Rice
15,14,33,2.86,14.2,3.7,Cotton
29,20,25,4.4,20.8,3.1,Maize
40,13,5,4.75,16.3,1.4,Maize
32,8,15,3.9,20.4,4.5,Wheat
38,18,10,4.9,21.7,4.9,Cotton
19,30,32,4.04,16.6,3.7,Rice
12,5,38,2.21,11.7,2.0,Soybean
30,19,20,4.35,14.5,3.9,Soybean
44,8,13,5.06,16.9,2.0,Maize
18,28,6,3.32,19.2,1.2,Soybean
24,9,17,3.19,20.3,4.1,Cotton
46,28,14,6.28,19.9,2.5,Maize
17,18,35,3.3,12.6,3.4,Maize
26,8,15,3.3,14.8,2.7,Soybean
48,13,14,5.73,16.8,3.4,Rice
25,7,19,3.23,16.9,2.0,Wheat
50,28,36,7.12,20.2,1.0,Rice
18,26,22,3.54,13.2,3.4,Cotton
34,13,33,4.71,14.2,3.3,Wheat
34,14,13,4.36,14.3,4.1,Wheat
16,25,40,3.65,20.0,4.4,Wheat
22,20,39,3.98,17.5,3.1,Soybean
36,21,37,5.39,20.4,4.2,Cotton
23,8,9,2.88,17.2,3.7,Cotton
41,13,15,5.05,15.4,2.6,Wheat
42,30,19,6.08,21.9,3.8,Cotton
34,29,27,5.39,21.7,2.2,Soybean
25,28,13,4.16,20.7,2.9,Maize
29,9,26,3.87,13.8,3.0,Wheat
47,18,40,6.4,17.3,3.3,Maize
19,19,37,3.59,10.8,3.6,Cotton
19,26,6,3.32,19.8,2.5,Rice
17,24,21,3.32,14.1,2.9,Wheat
24,6,27,3.24,10.5,3.0,Rice
49,21,15,6.25,21.1,3.1,Soybean
25,27,7,3.99,15.2,4.1,Maize
48,20,8,5.96,19.7,1.7,Maize
49,16,24,6.18,19.8,4.3,Maize
31,14,14,4.08,13.4,4.3,Soybean
46,24,18,6.16,19.9,1.5,Rice
21,7,31,3.07,10.2,4.6,Soybean
32,21,32,4.89,22.6,4.6,Soybean
32,19,35,4.85,18.4,2.7,Wheat
19,10,39,3.18,12.2,4.1,Maize
46,10,27,5.64,18.2,4.8,Maize
16,25,33,3.51,17.1,3.8,Soybean
10,18,21,2.32,9.7,3.9,Soybean
11,26,34,3.08,15.7,1.7,Rice
16,16,18,2.76,14.9,1.1,Cotton
14,6,7,1.84,15.5,4.0,Rice
34,26,27,5.24,14.6,3.8,Cotton
16,25,31,3.47,12.9,3.7,Cotton
12,5,40,2.25,11.8,3.4,Cotton
21,26,32,4.04,16.5,4.9,Maize
42,23,20,5.75,23.9,3.0,Wheat
21,9,26,3.07,18.2,4.0,Maize
19,30,27,3.94,19.5,4.5,Maize
25,18,24,3.88,12.5,2.8,Rice
44,5,8,4.81,17.6,1.2,Soybean
40,26,26,5.82,18.9,2.7,Maize
35,10,28,4.56,19.0,1.1,Rice
31,13,37,4.49,17.7,4.1,Wheat
37,21,22,5.19,18.7,3.7,Cotton
50,10,20,5.9,19.0,2.6,Cotton
14,18,40,3.1,11.9,3.2,Rice
36,5,33,4.51,17.2,1.8,Wheat
20,18,14,3.18,19.5,1.9,Wheat
46,14,29,5.88,25.1,1.4,Cotton
26,29,37,4.79,21.1,1.0,Rice
23,22,16,3.72,19.5,2.6,Maize
18,20,17,3.14,12.6,1.4,Soybean
18,19,15,3.05,10.9,2.0,Rice
36,27,12,5.19,16.4,4.8,Cotton
37,11,8,4.41,16.3,3.1,Cotton
39,25,19,5.53,23.3,1.6,Rice
33,16,37,4.84,20.7,3.6,Wheat
26,14,18,3.66,12.4,4.1,Rice
37,12,24,4.78,22.8,4.4,Soybean
23,10,6,2.92,15.4,1.3,Soybean
10,21,22,2.49,9.3,3.9,Rice
18,29,7,3.39,19.3,3.7,Cotton
23,26,6,3.72,16.3,3.0,Cotton
14,22,20,2.9,14.6,4.0,Maize
17,30,20,3.6,15.7,4.7,Soybean
11,7,19,1.83,15.9,1.7,Maize
35,10,27,4.54,17.8,1.8,Maize
32,11,5,3.85,15.5,3.7,Cotton
25,9,25,3.45,16.4,1.8,Wheat
26,19,38,4.31,12.2,2.7,Rice
39,22,31,5.62,18.4,1.5,Cotton
49,29,7,6.49,22.0,4.1,Maize
11,27,36,3.17,17.8,1.9,Soybean
26,26,14,4.18,20.8,4.6,Rice
11,12,20,2.1,18.3,1.7,Wheat
26,22,8,3.86,16.9,2.0,Cotton
16,8,34,2.68,11.6,1.1,Rice
11,22,11,2.42,16.1,1.5,Soybean
23,8,20,3.1,13.2,4.4,Maize
39,28,32,5.94,21.1,4.3,Maize
35,28,21,5.32,22.7,3.9,Maize
27,29,28,4.71,19.8,1.8,Soybean
42,21,30,5.85,24.1,4.2,Soybean
16,14,35,3.0,17.1,1.4,Wheat
47,19,15,5.95,21.4,4.8,Soybean
42,16,34,5.68,15.3,4.1,Cotton
37,21,13,5.01,15.7,2.9,Soybean
39,12,39,5.28,17.9,2.9,Cotton
26,5,32,3.49,17.2,3.0,Wheat
41,22,28,5.76,15.9,4.9,Soybean
43,6,8,4.76,16.1,4.7,Soybean
22,6,13,2.76,13.2,3.2,Wheat
29,13,12,3.79,15.7,2.3,Wheat
20,20,27,3.54,16.3,1.2,Wheat
13,10,12,2.04,11.0,3.5,Cotton
48,15,13,5.81,16.8,2.3,Rice
28,19,6,3.87,18.5,4.8,Wheat
23,21,29,3.93,18.2,1.4,Wheat
44,19,22,5.79,21.5,4.4,Wheat
19,20,34,3.58,20.8,4.2,Rice
50,14,39,6.48,21.7,1.6,Soybean
38,9,19,4.63,17.8,4.0,Cotton
18,13,18,2.81,10.2,1.9,Wheat
43,7,39,5.43,22.9,3.6,Soybean
42,20,13,5.46,20.4,3.0,Rice
49,13,24,6.03,19.4,2.6,Cotton
29,14,28,4.16,15.3,3.3,Soybean
25,29,6,4.07,13.2,2.0,Maize
46,28,7,6.14,25.5,3.9,Rice
31,19,17,4.39,16.9,4.6,Rice
